Code,Name
ARB,Alara Reborn
AL,Alliances
AQ,Antiquities
AP,Apocalypse
AN,Arabian Nights
ARC,Archenemy
AVR,Avacyn Restored
BR,Battle Royale Box Set
BD,Beatdown Box Set
BOK,Betrayers of Kamigawa
BNG,Born of the Gods
CHK,Champions of Kamigawa
CH,Chronicles
6E,Classic Sixth Edition
CS,Coldsnap
C13,Commander 2013 Edition
C14,Commander 2014
CRS,Commander's Arsenal
CFX,Conflux
DKA,Dark Ascension
DS,Darksteel
DIS,Dissension
DGM,Dragon's Maze
ADVD,"Duel Decks Anthology, Divine vs. Demonic"
AEVD,"Duel Decks Anthology, Elves vs. Dragons"
AGVL,"Duel Decks Anthology, Garruk vs. Liliana"
AJVC,"Duel Decks Anthology, Jace vs. Chandra"
AVB,Duel Decks: Ajani vs. Nicol Bolas
DVD,Duel Decks: Divine vs. Demonic
EVT,Duel Decks: Elspeth vs. Tezzeret
EVG,Duel Decks: Elves vs. Goblins
GVL,Duel Decks: Garruk vs. Liliana
HVM,Duel Decks: Heroes vs. Monsters
IVG,Duel Decks: Izzet vs. Golgari
JVC,Duel Decks: Jace vs. Chandra
JVV,Duel Decks: Jace vs. Vraska
KVD,Duel Decks: Knights vs. Dragons
PVC,Duel Decks: Phyrexia vs. the Coalition
SVT,Duel Decks: Sorin vs. Tibalt
SVC,Duel Decks: Speed vs. Cunning
VVK,Duel Decks: Venser vs. Koth
8E,Eighth Edition
EVE,Eventide
EX,Exodus
FE,Fallen Empires
FRF,Fate Reforged
FD,Fifth Dawn
5E,Fifth Edition
4E,Fourth Edition
ANH,From the Vault: Annihilation (2014)
DRG,From the Vault: Dragons
EXL,From the Vault: Exiled
LEG,From the Vault: Legends
RLM,From the Vault: Realms
RLC,From the Vault: Relics
TWE,From the Vault: Twenty
FUT,Future Sight
GTC,Gatecrash
GP,Guildpact
HL,Homelands
IA,Ice Age
ISD,Innistrad
IN,Invasion
JOU,Journey into Nyx
JU,Judgment
KTK,Khans of Tarkir
LG,Legends
LE,Legions
A,Limited Edition Alpha
B,Limited Edition Beta
LRW,Lorwyn
M10,Magic 2010
M11,Magic 2011
M12,Magic 2012
M13,Magic 2013
M14,Magic 2014 Core Set
M15,Magic 2015 Core Set
CMD,Magic: The Gathering-Commander
CNS,Magic: The Gathering—Conspiracy
ME,Masters Edition
ME2,Masters Edition II
ME3,Masters Edition III
ME4,Masters Edition IV
MM,Mercadian Masques
MI,Mirage
MR,Mirrodin
MBS,Mirrodin Besieged
MD1,Modern Event Deck 2014
MMA,Modern Masters
MOR,Morningtide
NE,Nemesis
NPH,New Phyrexia
9E,Ninth Edition
OD,Odyssey
ON,Onslaught
PLC,Planar Chaos
PCH,Planechase
PC2,Planechase 2012 Edition
PS,Planeshift
PT,Portal
P2,Portal Second Age
P3,Portal Three Kingdoms
FAL,Premium Deck Series: Fire and Lightning
GRV,Premium Deck Series: Graveborn
SLI,Premium Deck Series: Slivers
PY,Prophecy
RAV,Ravnica: City of Guilds
RTR,Return to Ravnica
R,Revised Edition
ROE,Rise of the Eldrazi
SOK,Saviors of Kamigawa
SOM,Scars of Mirrodin
SC,Scourge
7E,Seventh Edition
SHM,Shadowmoor
ALA,Shards of Alara
ST,Starter 1999
S2,Starter 2000
SH,Stronghold
TE,Tempest
10E,Tenth Edition
DK,The Dark
THS,Theros
TSP,Time Spiral
TSB,"Time Spiral ""Timeshifted"""
TO,Torment
UG,Unglued
UNH,Unhinged
U,Unlimited Edition
UD,Urza's Destiny
UL,Urza's Legacy
US,Urza's Saga
VMA,Vintage Masters
VI,Visions
WL,Weatherlight
WWK,Worldwake
ZEN,Zendikar
ARS,"Archenemy ""Schemes"""
PCP,"Planechase ""Planes"""
PP2,"Planechase 2012 Edition ""Planes"" and ""Phenomena"""
CNSC,"Magic: The Gathering—Conspiracy ""Conspiracies"""
15A,15th Anniversary
GPX,Grand Prix
PRO,Pro Tour
GDC,Magic Game Day Cards
WRL,Worlds
WCQ,World Magic Cup Qualifiers
PRE,Prerelease Events
RLS,Release Events
GLP,Magic: The Gathering Launch Parties
SUM,Summer of Magic
GTW,WPN/Gateway
CHA,Champs
2HG,Two-Headed Giant Tournament
ARE,Arena League
FNM,Friday Night Magic
REW,Magic Player Rewards
SS,Super Series
HHO,Happy Holidays
JCG,Judge Gift Program
EUR,European Land Program
GUR,Guru
APAC,Asia Pacific Land Program
CC,Celebration Cards
MBP,Media Inserts
LGM,Legend Membership
CST,Coldsnap Theme Decks
ANT,Anthologies
DPA,Duels of the Planeswalkers
8EB,Eighth Edition Box Set
9EB,Ninth Edition Box Set
DM,Deckmasters
